nameGiven,starting_year,starting_team,ending_year,ending_team
Kirk Edward,1985,CAL,1996,CHA
Mariano,1985,LAN,1997,NYA
Teodoro Valenzuela,1985,ML4,1994,ML4
Roger Alan,1985,NYN,1996,BAL
Timothy Dean,1985,OAK,1990,CIN
Vincent Maurice,1985,SLN,1997,DET
Paul Andre,1986,ATL,1999,CLE
Edward R.,1986,ATL,1988,ATL
Robert Clifford,1986,ATL,1986,ATL
Charles Edward,1986,CAL,2002,CLE
Wallace Keith,1986,CAL,2001,ANA
Roberto Martin Antonio,1986,CHA,2001,SLN
Ronald Joseph,1986,CHA,1997,CHA
Joel Jacob,1986,CHA,1987,CHA
Robert Thomas,1986,CHA,1994,SEA
Joseph Michael,1986,CHN,1986,CHN
Jamie,1986,CHN,2012,COL
Kalvoski,1986,CIN,1992,LAN
Tracy Donald,1986,CIN,1991,SEA
Barry Louis,1986,CIN,2004,CIN
Kurt Andrew,1986,CIN,1996,TEX
Andrew Neal,1986,CLE,1995,CAL
Scott Alan,1986,CLE,1998,TEX
James Cory,1986,CLE,1994,LAN
Forest Gregory,1986,CLE,2002,ARI
Eric Steven,1986,DET,1992,DET
Michael Scott,1986,KCA,1995,NYA
Michael Scott,1986,KCA,1996,PIT
Jeffrey Robert,1986,LAN,1991,LAN
Christopher Louis,1986,ML4,1996,SEA
Glenn Erick,1986,ML4,1992,CIN
Bryan Richard,1986,ML4,1989,ML4
Juan Manuel,1986,ML4,1988,ML4
Daniel Thomas,1986,ML4,2003,PHI
Dale Curtis,1986,ML4,1999,PIT
Luis Antonio,1986,MON,1998,KCA
Douglas Dean,1986,NYA,1998,BAL
Kevin Daniel,1986,NYN,2000,LAN
Edward John,1986,NYN,1988,KCA
Mark David,1986,OAK,2001,SLN
William Craig,1986,OAK,1986,OAK
Eric Vaughn,1986,OAK,1999,MIL
Michael Ray,1986,PHI,2004,CHA
Michael Ausley,1986,PHI,2000,HOU
Barry Lamar,1986,PIT,2007,SFN
John Martin,1986,SDN,1995,CHA
Leon Joseph,1986,SDN,1998,DET
Michael Peter,1986,SFN,1996,CAL
William Nuschler,1986,SFN,2000,BAL
Kelly Robert,1986,SFN,1993,OAK
Randy Scott,1986,SFN,1990,BOS
Robert Randall,1986,SFN,1996,SFN
Gregory Inman,1986,SLN,1992,PHI
John Daniel,1986,SLN,1992,CAL
Peter Joseph,1986,TEX,1998,DET
Peter Joseph,1986,TEX,1998,HOU
Robert Andrew,1986,TEX,2001,ARI
Jeffrey Joseph,1986,TOR,1990,NYN
Jeffrey Michael,1987,ATL,1999,CHN
Thomas Michael,1987,ATL,2008,ATL
William Oliver,1987,BAL,1998,DET
Mark Alan,1987,BAL,1994,BAL
Ellis Rena,1987,BOS,2004,BOS
Lester Wayne,1987,CHN,1993,SLN
Terence Roy,1987,CIN,1994,SLN
Thomas Lee,1987,CLE,1989,CLE
Michael Alan,1987,DET,1996,TEX
Jeffrey Mark,1987,DET,1992,TEX
Kenneth Gene,1987,HOU,2001,TEX
John Kirk,1987,KCA,1990,CHA
Shawn Patrick,1987,LAN,1993,OAK
Tracy Michael,1987,LAN,1993,SLN
William James,1987,ML4,2005,BAL
Randy Lee,1987,NYA,2002,OAK
Gregory James,1987,OAK,1998,TEX
Luis Andrew,1987,OAK,2000,DET
Wallace Reid,1987,PHI,1992,PHI
Shane Lee,1987,SDN,1998,OAK
Eric Carl,1987,SDN,1991,SDN
Jose,1987,SEA,1990,CHN
Kenneth Lance,1987,SLN,2000,NYA
Joseph David,1987,SLN,1996,CHA
Thomas Alan,1987,SLN,1998,SLN
Jose Joaquin,1988,BAL,1997,SLN
Oswald Jose,1988,BAL,1988,BAL
Brady Kevin,1988,BOS,2002,CLE
Steven Clark,1988,BOS,1988,BOS
John Howard,1988,BOS,1988,BOS
Frank Lawrence,1988,CAL,1988,CAL
Rolando Audley,1988,CHN,1990,CIN
Christopher Andrew,1988,CIN,1996,CIN
Tanner Joe,1988,ML4,1989,ML4
Ulises,1988,SDN,1988,SDN
Kenneth Wade,1988,SLN,2001,TBA
Jose Isabel,1988,TEX,1988,TEX
Silvestre,1988,TOR,1991,PHI
Jeffrey Barret,1989,ATL,1989,ATL
Edward Morris,1989,ATL,1989,ATL
Steven Allen,1989,BAL,2007,COL
Eric Paul,1989,BOS,1990,BOS
James Anthony,1989,CAL,1999,MIL
Kent McKay,1989,CAL,1990,CAL
Robert Richard,1989,CAL,1992,CAL
James Gregory,1989,CHA,1994,SEA
Joseph Elliott,1989,CHN,2003,SLN
John Dwight,1989,CHN,1996,ATL
Joseph Melton,1989,CIN,2001,NYA
Jeffrey Scott,1989,CIN,1993,BOS
Michael Joseph,1989,CIN,1990,CIN
William Scott,1989,CIN,1993,CLE
Albert Jojuan,1989,CLE,2000,BAL
Steven Robert,1989,CLE,1992,CLE
Brian Andrew,1989,DET,1990,DET
Kevin D.,1989,DET,1998,COL
Joseph Douglas,1989,DET,1998,PIT
Eric Girard,1989,HOU,1993,CHN
Richard Fred,1989,KCA,1990,ATL
Matthew Littleton,1989,KCA,1989,KCA
John Karl,1989,LAN,2000,TEX
Michael Lawrence,1989,MIN,1996,MON
Mark Andrew,1989,MIN,2003,CHN
Walter William,1989,MIN,1997,LAN
Gary Anthony,1989,MIN,1994,LAN
William Derrick,1989,ML4,1990,ML4
Jaime,1989,ML4,2000,MIL
Jeffrey Allen,1989,ML4,1989,ML4
William James,1989,ML4,2001,HOU
Marquis Deon,1989,MON,2005,SFN
Tyrone Eugene,1989,MON,1995,BAL
Jeffrey Wayne,1989,PIT,1999,KCA
Andrew Charles,1989,SDN,2002,SLN
Daniel Lee,1989,SDN,1989,SDN
George Kenneth,1989,SEA,2010,SEA
Omar Enrique,1989,SEA,2012,TOR
Todd Edward,1989,SLN,2004,NYN
Kenneth Scott,1989,TEX,2008,DET
Samuel Peralta,1989,TEX,2007,TEX
Junior Francisco,1989,TOR,1994,DET
Victor Manuel,1990,ATL,1990,ATL
Leonardo,1990,BAL,1996,CHN
Scott Kendrick,1990,BOS,1997,KCA
Dana Ervin,1990,BOS,1991,BOS
DeWain Lee,1990,CAL,2002,MON
Clifford Raphael,1990,CAL,1993,CLE
Craig Allen,1990,CHA,2001,BOS
Jerry Scott,1990,CHA,1990,CHA
Kevin Gerard,1990,CLE,1990,CLE
Jeffrey Paul,1990,CLE,2000,COL
Jeffrey Lee,1990,CLE,2001,LAN
Scott Phillip,1990,DET,2000,PHI
David Travis,1990,DET,2002,CLE
Andujar,1990,HOU,1996,SDN
David Grant,1990,HOU,1992,CLE
Michael Howard,1990,HOU,1999,TEX
Carlos Cesar,1990,KCA,1993,ML4
Brian Wesley,1990,KCA,1999,NYN
Terrance Darnell,1990,KCA,2003,TBA
Jose Antonio,1990,LAN,2005,PHI
Paul David,1990,MIN,2004,TBA
Scott Thomas,1990,MIN,1999,KCA
Narciso Chicho,1990,ML4,1990,ML4
Delino Lamont,1990,MON,2002,CHN
Howard Earl,1990,MON,1990,MON
Melquiades,1990,MON,1999,LAN
William Albert,1990,MON,1994,CAL
Alan Bernard,1990,NYA,2001,BAL
Todd Randolph,1990,NYN,2003,LAN
Julio Enrique,1990,NYN,1996,KCA
Osvaldo,1990,OAK,1993,SLN
Scott Michael,1990,OAK,1992,TEX
Steven Bernard,1990,OAK,1990,OAK
David Michael,1990,PHI,2002,PHI
Charles Ray,1990,PHI,1990,PHI
Moises Rojas,1990,PIT,2008,NYN
Carlos Jesus,1990,PIT,1999,SDN
Orlando Luis,1990,PIT,2003,HOU
Thomas Sylvester,1990,SDN,2000,SLN
Omar,1990,SDN,2001,PIT
David Allen,1990,SEA,2004,MIL
Andres Confesor,1990,SFN,1990,SFN
Rodney Lee,1990,SLN,1993,SLN
Raymond Lewis,1990,SLN,2004,SLN
Carl Ray,1990,SLN,1992,PHI
Kevin Donnell,1990,TEX,1990,TEX
Brian Edward,1990,TEX,2001,COL
Ramon,1990,TEX,1990,TEX
Michael Cole,1991,BAL,2008,NYA
Arthur Lee,1991,BAL,2011,TEX
Maurice Samuel,1991,BOS,2003,NYN
Roberto Manuel,1991,CHA,2007,CLE
Erik Daniel,1991,CHN,1994,SLN
Heath,1991,CHN,2000,SLN
Reginald Jirod,1991,CIN,1999,BOS
Bruce Edward,1991,CLE,1991,CLE
Thomas Joseph,1991,CLE,1993,CLE
Edward Kenneth,1991,CLE,2001,CLE
James Howard,1991,CLE,2012,PHI
Daniel Michael,1991,DET,1991,DET
Darryl Andrew,1991,HOU,2002,SLN
Kenneth,1991,HOU,2007,TEX
Jose,1991,HOU,1991,HOU
David Wayne,1991,KCA,1999,SLN
Bernabe,1991,NYA,2006,NYA
Peter Alan,1991,NYN,2001,BOS
Kimothy Emil,1991,PHI,1996,SFN
Jeremy Stuart,1991,SDN,1995,FLO
Mark Willard,1991,SLN,2000,TEX
Juan Andres,1991,TOR,2000,TBA
Patrick George,1991,TOR,2004,TOR
Randy Duane,1991,TOR,2001,MON
Michael August,1991,TOR,2008,BOS
Bienvenido,1992,ATL,1994,PHI
Peter Alexander,1992,BOS,1992,BOS
Paul John,1992,BOS,2005,NYA
Kenneth Frederick,1992,BOS,1999,PHI
John William,1992,BOS,2002,NYN
Chad David,1992,CAL,2001,TEX
Jacob Donnell,1992,CIN,1999,LAN
Jacob Donnell,1992,CIN,1999,TOR
Alan Duane,1992,CLE,2009,COL
John Harold,1992,DET,1996,BOS
Juan Antonio,1992,HOU,1992,HOU
Floyd Bluford,1992,HOU,1999,SEA
Williams,1992,ML4,1993,ML4
Jonathan,1992,MON,1994,NYN
Andrew Neal,1992,NYA,1998,ARI
Robert Joe,1992,NYA,2007,ATL
Miguel Jerez,1992,PIT,2012,NYN
Brian O'Neal,1992,SLN,2006,ATL
Jeffrey Dustin,1992,TEX,2001,TOR
Jeffrey Franklin,1992,TOR,2008,LAN
Richard Alan,1992,TOR,1997,BOS
Richard Alan,1992,TOR,1997,NYN
Ramon,1993,ATL,1995,SLN
Larry Wayne,1993,ATL,2012,ATL
Gregory Winston,1993,ATL,2000,ATL
Damon Jackson,1993,BAL,2001,CHN
George Kevin,1993,BAL,1993,BAL
Sherman Omar,1993,BAL,1997,MON
John Preston,1993,BAL,1993,BAL
Aaron Helmer,1993,BOS,2007,NYN
Brian James,1993,CAL,2005,KCA
James Patrick,1993,CAL,2010,MIL
Jason Phillip,1993,CHA,2003,CLE
Jeffrey William,1993,CHA,1994,CHA
Stephen Christopher,1993,CHN,2008,BAL
Matthew Lovick,1993,CHN,2003,DET
Ross John,1993,CIN,1995,HOU
Gerard Peter,1993,CLE,2000,COL
Manuel Aristides,1993,CLE,2011,TBA
Julian,1993,CLE,2009,WAS
Curtis John,1993,COL,2004,KCA
Claude Jayhawk,1993,COL,1996,COL
Lance Telford,1993,COL,2003,SLN
Sean Frederick,1993,DET,2000,MIN
Gregory James,1993,DET,1996,DET
Christopher Cory,1993,DET,2008,PIT
Carl Edward,1993,FLO,2006,SEA
Trevor William,1993,FLO,2010,MIL
John William,1993,FLO,2000,SFN
Scott Vernon,1993,FLO,2000,KCA
Darrell Lamont,1993,FLO,1995,FLO
Todd Barton Givin,1993,HOU,2008,DET
William Robert,1993,KCA,1999,PHI
Raul Ramon,1993,LAN,2005,ATL
Richard Godhard,1993,MIN,2000,OAK
Edward Adrain,1993,MIN,2009,TEX
Patrick James,1993,MIN,2001,PIT
Mark Andrew,1993,ML4,1996,ML4
Joseph Robert,1993,ML4,1995,CHN
Graeme John,1993,ML4,2003,NYN
Matthew Todd,1993,ML4,2000,HOU
Angel Luis,1993,ML4,1997,ML4
Frank Charles,1993,MON,1998,ANA
Cornelius Clifford,1993,MON,2009,SDN
Arthur Louis,1993,MON,1998,CHA
Michael Thomas,1993,MON,2001,BOS
Kirk Wesley,1993,MON,2005,SFN
Joseph Todd,1993,MON,1998,DET
Rondell Bernard,1993,MON,2007,MIN
Timothy Paul,1993,NYN,2001,LAN
Michael Anthony,1993,NYN,1993,NYN
Robert Leon,1993,NYN,2000,MIN
Robert Joseph,1993,NYN,2002,SDN
David William,1993,NYN,1998,OAK
Kurt Thomas,1993,OAK,2001,ATL
Brent Robert,1993,OAK,1999,MIN
Eric James,1993,OAK,1995,OAK
Craig Harold,1993,OAK,2003,DET
Tyler Scott,1993,PHI,1998,PHI
Anthony Eugene,1993,PHI,1995,PHI
Kevin Douglas,1993,PHI,2000,TBA
Daniel,1993,PIT,2006,TBA
Bradley David,1993,SDN,2010,LAN
Patrick Alexander,1993,SDN,1995,SFN
Ricardo,1993,SDN,2004,NYN
Scott Gerald,1993,SDN,1999,CHN
Darrell Edward,1993,SDN,1993,SDN
Timothy Howard,1993,SDN,2006,SFN
John Russell,1993,SEA,1997,DET
Marc Alexander,1993,SEA,1998,MIL
Lee Owen,1993,SEA,1997,SEA
Fernando,1993,SEA,2004,DET
Gregory Scott,1993,SFN,1993,SFN
Thomas James,1993,SLN,1996,SLN
Allen Kenneth,1993,SLN,2000,NYA
Jacob Jeffery,1993,TEX,1995,ML4
Romar Benjamin,1993,TEX,2003,ANA
Robert Allen,1993,TEX,2002,SFN
Darren Christopher,1993,TEX,2013,TOR
Scott John,1993,TOR,1998,ARI
Robert Frank John,1993,TOR,1999,TOR
William Emisael,1993,TOR,1993,TOR
Shawn David,1993,TOR,2007,NYN
Gregory Scott,1993,TOR,2007,HOU
Jose,1994,ATL,1995,ATL
Timothy Layne,1994,BOS,1996,ML4
Garret Joseph,1994,CAL,2010,LAN
Jorge,1994,CAL,2002,ANA
Dane Edward,1994,CHA,1997,OAK
Blaise Francis,1994,CHN,1994,CHN
Hector,1994,CIN,2007,LAA
Steven Antone,1994,CIN,1995,PIT
Chad Wayne,1994,CLE,1999,PHI
Herbert Edward,1994,CLE,2004,TEX
Mark Radford,1994,COL,2000,SLN
Kurt Everett,1994,FLO,1999,CHN
John Raymond,1994,HOU,1999,CIN
Brian Lee,1994,HOU,2003,HOU
Orlando,1994,HOU,1997,DET
James Raleigh,1994,HOU,2001,MIL
Roberto Antonio,1994,HOU,2006,SEA
David Scott,1994,HOU,2003,CHN
Darren James,1994,LAN,2004,LAN
Chan Ho,1994,LAN,2010,NYA
Ismael,1994,LAN,2005,FLO
Keith John,1994,MIN,1994,MIN
Juan Carlos,1994,MIN,2004,MIN
Erik Paul,1994,MIN,1995,MIN
Jeffrey Howard,1994,ML4,2007,MIN
Michael Scott,1994,ML4,2006,SFN
Joseph Raymond,1994,MON,2006,WAS
Russell Stuart,1994,NYA,2001,SFN
Mark Robert,1994,OAK,1997,OAK
Michael Scott,1994,PHI,2007,LAN
Robert Lee,1994,PHI,2002,MIN
Jonathan Ray,1994,PIT,2008,CHN
Jeffrey Jon,1994,PIT,2001,SLN
Richard Allen,1994,PIT,2007,HOU
Donald Glenn,1994,SDN,1995,SDN
Bryce Bettencourt,1994,SDN,2001,BOS
Ray Arthur,1994,SDN,2000,KCA
Timothy James,1994,SDN,1999,FLO
Keith Virgil,1994,SDN,2003,SDN
Anthony Joseph,1994,SDN,1998,DET
Jeffrey Scott,1994,SEA,1997,CHA
Timothy Howard,1994,SEA,1997,SEA
Alexander Emmanuel,1994,SEA,2013,NYA
William Joseph,1994,SFN,1997,SFN
John Steven,1994,SLN,2007,COL
Thurman Clyde,1994,TEX,2002,TEX
James Lavon,1994,TEX,1994,TEX
Alexander Scott,1994,TOR,2006,PHI
Eduardo Rafael,1995,ATL,2005,ATL
Jason David,1995,ATL,2009,LAN
Joseph Thomas,1995,BAL,2008,CLE
James Michael,1995,BAL,1995,BAL
Curtis LaMar,1995,BAL,1999,CHN
Rick Michael,1995,BAL,1998,CLE
Gregory Owen,1995,BAL,2010,MIL
Vaughn Michael,1995,BOS,1997,BOS
Dwayne Samuel,1995,BOS,1996,BOS
Michael Elmo,1995,CAL,2002,COL
Orlando,1995,CAL,2007,HOU
Troy Eugene,1995,CAL,2009,TBA
Michael David,1995,CHA,1997,CHA
Michael Terrance,1995,CHA,2011,BOS
Ray,1995,CHA,2008,SFN
Brian Lee,1995,CHA,1996,CHA
Lyle Joseph,1995,CHA,2001,FLO
William Anthony,1995,CHA,2000,CHA
Terry Wayne,1995,CHN,2005,PHI
Matthew Neil,1995,CHN,2003,ATL
Eric Blake,1995,CIN,2003,ANA
Brian Stephen,1995,CLE,2009,SDN
Juan Carlos,1995,COL,2003,NYA
Charles Roger,1995,COL,1997,COL
Jason Charles,1995,COL,1998,COL
Jorge Manuel,1995,COL,1996,COL
Robert Leigh,1995,DET,2005,DET
Todd Anthony,1995,DET,1996,SDN
Matthew Bruce,1995,FLO,2005,BOS
Michael Stanley,1995,FLO,2007,NYA
Marc Christopher,1995,FLO,2001,ATL
Quilvio Alberto,1995,FLO,2001,ATL
Phillip Joseph,1995,HOU,2006,TEX
William Edward,1995,HOU,2010,ATL
Donnell Lee,1995,HOU,2002,ANA
Edgar Fidel,1995,KCA,1995,KCA
Richard Allen,1995,KCA,1996,KCA
Leslie Eugene,1995,KCA,1996,KCA
Jonathan Keith,1995,KCA,2000,NYN
James Michael,1995,KCA,1999,KCA
Joseph Gregory,1995,KCA,2006,PIT
Christopher Desmond,1995,KCA,2004,PIT
Michael John,1995,KCA,2010,SEA
Dilson Dario,1995,KCA,1995,KCA
Roger Leandro,1995,LAN,2005,SLN
Gustavo Karim,1995,LAN,2004,NYN
Gregory Michael,1995,LAN,1999,PIT
Todd Mathew,1995,LAN,2006,CLE
Antonio Pedro,1995,LAN,2005,WAS
Martin Kevin,1995,MIN,2003,BAL
Matthew,1995,MIN,2006,SEA
Dan Patrick,1995,MIN,1995,MIN
Juan Oscar,1995,MIN,1995,MIN
Brad William,1995,MIN,2006,MIN
Scott Allen,1995,MIN,1995,MIN
Brian Allen,1995,ML4,1996,ML4
Randall Scott,1995,ML4,2000,COL
Mark David,1995,ML4,2009,LAN
James Brian,1995,ML4,1997,ML4
Rafael Alberto,1995,ML4,2008,TBA
Ronald Gene,1995,ML4,1995,ML4
Sidney Dean,1995,ML4,1995,ML4
Steven William,1995,ML4,2004,ARI
Mark James,1995,MON,2010,CLE
Carlos Gross,1995,MON,2000,LAN
Ugueth Urtain,1995,MON,2005,DET
Brian Edward,1995,NYA,2004,PIT
Andrew Eugene,1995,NYA,2013,NYA
Mariano,1995,NYA,2013,NYA
Edgardo Antonio,1995,NYN,2006,LAA
Jeffrey Finas,1995,NYN,1999,COL
Donald Emery,1995,NYN,1995,NYN
Jason Derik,1995,NYN,2012,LAA
Aaron David,1995,NYN,2000,COL
Alex,1995,NYN,2002,MIL
Robert Alan,1995,NYN,2003,BOS
Peter Brian,1995,NYN,2006,TOR
Douglas Alan,1995,OAK,1999,BAL
Ariel,1995,OAK,2001,TBA
John Truman,1995,OAK,2007,PIT
Steven Joseph,1995,OAK,1997,OAK
Gary David,1995,PHI,2008,LAN
Michael James,1995,PHI,1999,PHI
Kevin Wayne,1995,PHI,2001,PHI
Michael Randall,1995,PHI,1997,PHI
Eugene David,1995,PHI,1996,PHI
Jason Samuel,1995,PIT,2005,SFN
Angelo Benjamin,1995,PIT,1997,ANA
